,specimen_prediction,Id,paper
1095, NMC 2245 ROM 5499 ,"Chasmosaurus mariscalensis, sp. nov., a new ceratopsian dinosaur from Texas",6
1121, UTEP P 37 7 014 ,"Chasmosaurus mariscalensis, sp. nov., a new ceratopsian dinosaur from Texas",6
1431, A 1468 ,LIST OF ILLUSTRATIONS •Figure,12
2114, SEPCP 9 741 is ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2142, SEPCP 9 733 SEPCP 9 583 SEPCP 9 584 ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2201, SEPCP 9 582 is ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2311, SEPCP 61 719 SEPCP 9 751 have ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2350, SEPCP 61 743 shows ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2363, SEPCP 47 745 suggest ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2373, SEPCP 9 SEPCP 47 ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2405, SEPCP 9 778 differs ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2420, SEPCP 47 777 ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2461, SEPCP 9 770 ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2660, Lehman 1982 ,"Fossil Vertebrates From the Cerro del Pueblo Formation, Coahuila, Mexico, and the Distribution of Late Campanian (Cretaceous) Terrestrial Vertebrate Faunas",11
2739, TMM 31078 1 ,"WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm",31
2741, TMM 45605 4 ,"WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm",31
2743, TVP 45866 ,"WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm",31
2747, TMM 40484 46 ,"WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm",31
2943, TVP 45866 2 ,WPA-3 Quarry Specimens Osteoderm,31
2957, WPA 3 ,"WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm",31
2972, TMM osteoderm with ,"WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm",31
2984, TMM osteoderm in ,WPA-3 Quarry Specimens Osteoderm,31
3008, AMNH 5337 ,"WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm,WPA-3 Quarry Specimens Osteoderm",31
3018, AMNH 5337 AMNH 5337 ,WPA-3 Quarry Specimens Osteoderm,31
3029, TMM 43057 502 ,WPA-3 Quarry Specimens Osteoderm,31
3036, TMM 41836 1 ,WPA-3 Quarry Specimens Osteoderm,31
