,specimen_prediction,Id,paper
3052, UTEP WPA 3 ,WPA-3 Quarry Specimens Osteoderm,31
3159, CPC 275 ,WPA-3 Quarry Specimens Osteoderm,31
3167, UABC FCM ,WPA-3 Quarry Specimens Osteoderm,31
3319, TMM quarr collections ,"TAPHONOMY AND PALEOECOLOGY OF THE DOCKUM GROUP, HOWARD COUNTY, TEXAS",24
3492, MNHM also ,"THE ""LOST TRACKS"" AT DINOSAUR RIDGE, COLORADO, FROM THE BASE OF THE CRETACEOUS (LATE ALBIAN-EARLY CENOMANIAN) MOWRY SHALE MEMBER OF THE BENTON FORMATION, SHOW A SWIMMING(?) ORNITHOPOD AFFECTED BY A CURRENT",26
3716, TMM 43098 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3756, DINO 1990 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3775, UCMP 129618 PEFO 33981 PEFO 33983 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3777, PEFO 10395 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
3786, PEFO occupies PEFO 33787 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3787, PEFO 34347 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3816, COLM ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3857, DINO 11541 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
3863, MWC 5525 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3892, CM 3018 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
3928, DNM 94 DNM 96 DNM 375 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3946, CM 11338 CM 3018 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
